prod_id,prod_name,site,review_title,customer_review,customer_rating,cleaned_review,is_fake
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Simply awesome,Good,5.0,good,0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Great product,Good,5.0,good,0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Terrific purchase,It's looks great work amazing for now,5.0,looks great work amazing,0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Mind-blowing purchase,Super .....,5.0,super,0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Best in the market!,Good 👍🏻,5.0,good,0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Super!,Super my son love it,5.0,super son love,0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Perfect product!,very good product,5.0,good product,0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Just wow!,Nice product 👌,5.0,nice product,0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Best in the market!,"I am thoroughly impressed with the product😍😍! It is of excellent quality, and my child loves playing with it. The design is vibrant and engaging. The material is safe and durable, which gives me pea...",5.0,thoroughly impressed product excellent quality child loves playing design vibrant engaging material safe durable gives pea,0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Worth every penny,Super 👍,5.0,super,0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Wonderful,Very Excited 😊 My Boy,4.0,excited boy,1
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Good choice,Very Nice,4.0,nice,0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Worst experience ever!,"Bad product ever, don't buy .",1.0,bad product ever dont buy,0
RCTGXTY4D5VJJ8CP,Touby Toys High Speed Bullet Train Tracks Model Electric Toy Set Kids,flipkart,Slightly disappointed,Worked for only one day,2.0,worked one day,0
